# Target Pref 演化日志

| 时间 | 生物 | 平均条目 | 最大条目 | min~max | top偏好(源→目标=均值×种群数) |
| 6202 | 219 | 60.18 | 7 | 0.42~2.50 | (13→12=1.59×160) (-23→28=1.54×34) (23→23=0.53×58) (11→-27=0.54×27) (-19→28=1.43×161) |
| 6212 | 219 | 59.67 | 7 | 0.42~2.12 | (13→12=1.58×159) (-23→28=1.54×34) (23→23=0.53×57) (11→-27=0.54×27) (-19→28=1.42×160) |
| 6223 | 215 | 59.66 | 7 | 0.42~2.12 | (13→12=1.58×156) (-23→28=1.54×32) (23→23=0.53×56) (11→-27=0.55×25) (-19→28=1.42×157) |
| 6233 | 217 | 59.82 | 7 | 0.42~2.12 | (13→12=1.57×159) (-23→28=1.55×32) (23→23=0.54×56) (11→-27=0.55×27) (-19→28=1.42×159) |
| 6243 | 212 | 59.31 | 7 | 0.42~2.09 | (13→12=1.56×153) (-23→28=1.55×33) (23→23=0.54×52) (11→-27=0.55×28) (-19→28=1.42×153) |
| 6254 | 214 | 59.31 | 7 | 0.42~2.09 | (13→12=1.56×154) (-23→28=1.56×35) (11→-27=0.55×30) (23→23=0.57×53) (-19→28=1.42×154) |
| 6264 | 223 | 60.22 | 7 | 0.42~2.09 | (-23→28=1.57×37) (13→12=1.55×162) (11→-27=0.55×32) (23→23=0.57×54) (-13→-18=1.42×81) |
| 6274 | 223 | 59.65 | 7 | 0.42~2.09 | (-23→28=1.58×37) (13→12=1.55×161) (11→-27=0.55×34) (23→23=0.56×51) (-13→-18=1.41×81) |
| 6285 | 227 | 60.18 | 7 | 0.42~2.09 | (-23→28=1.59×39) (13→12=1.54×165) (11→-27=0.55×37) (23→23=0.57×50) (-13→-18=1.42×82) |
| 6295 | 229 | 60.41 | 7 | 0.42~2.09 | (-23→28=1.59×44) (13→12=1.54×166) (11→-27=0.55×42) (23→23=0.57×49) (24→-5=1.42×37) |
| 6305 | 234 | 60.88 | 7 | 0.42~2.09 | (-23→28=1.59×45) (13→12=1.54×171) (11→-27=0.55×43) (23→23=0.55×49) (-19→28=1.42×171) |
| 6316 | 234 | 60.68 | 7 | 0.42~2.09 | (-23→28=1.59×45) (13→12=1.53×170) (11→-27=0.55×44) (23→23=0.57×49) (-19→28=1.42×170) |
| 6326 | 236 | 60.67 | 7 | 0.42~2.09 | (-23→28=1.61×42) (13→12=1.52×172) (11→-27=0.55×42) (23→23=0.58×48) (-3→-24=1.41×43) |
| 6336 | 240 | 61.06 | 7 | 0.42~2.09 | (-23→28=1.62×41) (13→12=1.52×176) (11→-27=0.55×41) (23→23=0.58×50) (-3→-24=1.41×42) |
| 6347 | 229 | 59.41 | 7 | 0.42~2.21 | (-23→28=1.62×37) (13→12=1.52×163) (11→-27=0.55×36) (-3→-24=1.42×38) (-13→-18=1.42×84) |
| 6357 | 230 | 59.85 | 7 | 0.42~2.21 | (-23→28=1.62×38) (13→12=1.52×165) (11→-27=0.55×37) (-3→-24=1.42×39) (-13→-18=1.41×85) |
| 6367 | 230 | 60.81 | 7 | 0.42~2.21 | (-23→28=1.63×37) (12→31=1.51×1) (13→12=1.51×167) (11→-27=0.55×38) (-13→-18=1.42×87) |
| 6378 | 240 | 61.89 | 7 | 0.42~2.21 | (-23→28=1.63×38) (12→31=1.51×1) (13→12=1.50×176) (11→-27=0.55×39) (-13→-18=1.43×93) |
| 6388 | 227 | 61.05 | 7 | 0.42~2.21 | (-23→28=1.63×35) (13→12=1.52×164) (12→31=1.51×1) (11→-27=0.55×37) (-13→-18=1.42×84) |
| 6398 | 232 | 61.45 | 7 | 0.42~2.21 | (-23→28=1.63×35) (13→12=1.52×168) (12→31=1.51×1) (11→-27=0.55×37) (-3→-24=1.44×40) |
| 6409 | 238 | 62.17 | 7 | 0.42~2.21 | (-23→28=1.62×35) (13→12=1.52×173) (12→31=1.51×1) (11→-27=0.56×38) (-3→-24=1.44×41) |
| 6419 | 224 | 62.13 | 7 | 0.42~2.21 | (-23→28=1.62×35) (13→12=1.53×164) (12→31=1.51×1) (-3→-24=1.45×39) (11→-27=0.55×37) |
| 6429 | 226 | 62.97 | 7 | 0.42~2.21 | (-23→28=1.63×33) (13→12=1.52×168) (12→31=1.51×1) (-3→-24=1.46×38) (11→-27=0.56×36) |
| 6440 | 230 | 63.37 | 7 | 0.42~2.21 | (-23→28=1.62×33) (13→12=1.52×171) (12→31=1.51×1) (-3→-24=1.46×37) (11→-27=0.56×35) |
| 6450 | 238 | 63.17 | 7 | 0.42~2.21 | (-23→28=1.61×32) (13→12=1.52×176) (12→31=1.51×1) (-3→-24=1.45×39) (11→-27=0.56×37) |
| 6460 | 219 | 60.82 | 7 | 0.42~2.30 | (-23→28=1.61×28) (13→12=1.52×155) (12→31=1.51×1) (-3→-24=1.47×32) (11→-27=0.56×30) |
| 6471 | 221 | 60.32 | 7 | 0.42~2.30 | (-23→28=1.61×28) (13→12=1.52×155) (12→31=1.51×1) (-3→-24=1.46×32) (11→-27=0.56×30) |
| 6481 | 234 | 61.67 | 7 | 0.42~2.30 | (-23→28=1.60×37) (13→12=1.53×168) (12→31=1.51×1) (11→-27=0.56×38) (-3→-24=1.43×41) |
| 6491 | 230 | 61.34 | 7 | 0.42~2.30 | (-23→28=1.63×36) (13→12=1.54×163) (11→-27=0.56×39) (-3→-24=1.43×42) (-19→28=1.40×161) |
| 6502 | 234 | 62.89 | 7 | 0.42~2.30 | (-23→28=1.63×41) (13→12=1.54×170) (11→-27=0.56×44) (-3→-24=1.43×47) (23→23=0.59×44) |
| 6512 | 238 | 62.71 | 7 | 0.42~2.30 | (-23→28=1.62×43) (13→12=1.54×172) (11→-27=0.56×45) (-3→-24=1.43×48) (23→23=0.59×45) |
| 6522 | 223 | 61.59 | 7 | 0.42~2.30 | (-23→28=1.63×40) (13→12=1.55×158) (11→-27=0.56×42) (-3→-24=1.43×45) (-13→-18=1.41×79) |
| 6533 | 221 | 60.26 | 7 | 0.42~2.30 | (-23→28=1.63×38) (13→12=1.56×152) (-3→-24=1.45×43) (11→-27=0.56×41) (23→23=0.58×41) |
| 6543 | 220 | 60.31 | 7 | 0.42~2.30 | (-23→28=1.63×38) (13→12=1.57×151) (-3→-24=1.45×43) (11→-27=0.56×41) (23→23=0.58×41) |
| 6553 | 224 | 59.84 | 7 | 0.42~2.30 | (-23→28=1.63×38) (13→12=1.57×152) (-3→-24=1.45×44) (11→-27=0.57×42) (23→23=0.57×42) |
| 6564 | 207 | 57.75 | 7 | 0.42~2.30 | (-23→28=1.61×28) (13→12=1.55×135) (-3→-24=1.46×32) (11→-27=0.57×30) (23→23=0.58×39) |
| 6574 | 204 | 57.41 | 7 | 0.42~2.30 | (-23→28=1.61×30) (13→12=1.55×132) (-3→-24=1.44×35) (11→-27=0.56×33) (23→23=0.58×35) |
| 6584 | 205 | 56.90 | 7 | 0.42~2.30 | (-23→28=1.61×33) (13→12=1.55×131) (11→-27=0.56×36) (-3→-24=1.42×38) (23→23=0.58×33) |
| 6595 | 199 | 56.21 | 7 | 0.42~2.30 | (-23→28=1.59×31) (13→12=1.54×125) (11→-27=0.56×32) (23→23=0.56×31) (-3→-24=1.44×33) |
| 6605 | 200 | 56.39 | 7 | 0.42~2.30 | (-23→28=1.59×31) (13→12=1.55×126) (23→23=0.55×34) (11→-27=0.56×32) (-3→-24=1.44×33) |
| 6615 | 202 | 55.69 | 7 | 0.42~2.30 | (13→12=1.56×125) (-23→28=1.55×33) (23→23=0.55×35) (11→-27=0.56×32) (-3→-24=1.44×33) |
| 6626 | 189 | 54.78 | 7 | 0.42~2.30 | (13→12=1.57×115) (-23→28=1.55×31) (23→23=0.55×36) (-3→-24=1.45×31) (11→-27=0.56×30) |
| 6636 | 188 | 53.35 | 7 | 0.42~2.30 | (13→12=1.57×111) (-23→28=1.52×30) (23→23=0.55×36) (-3→-24=1.44×29) (11→-27=0.56×28) |
| 6646 | 187 | 53.96 | 7 | 0.42~2.30 | (13→12=1.57×112) (-23→28=1.52×30) (23→23=0.55×36) (11→-27=0.56×28) (-3→-24=1.43×29) |
| 6657 | 179 | 53.45 | 7 | 0.42~2.30 | (13→12=1.57×106) (23→23=0.54×35) (-23→28=1.44×27) (11→-27=0.57×23) (-3→-24=1.43×23) |
| 6667 | 174 | 52.14 | 7 | 0.42~2.30 | (13→12=1.57×101) (23→23=0.54×34) (11→-27=0.57×21) (-23→28=1.43×25) (24→-5=1.42×32) |
| 6677 | 173 | 53.61 | 7 | 0.42~2.30 | (13→12=1.56×103) (23→23=0.54×33) (11→-27=0.57×22) (24→-5=1.43×31) (7→2=0.58×57) |
| 6688 | 169 | 52.49 | 7 | 0.42~2.30 | (13→12=1.55×98) (23→23=0.53×30) (24→-5=1.45×29) (11→-27=0.57×21) (7→2=0.58×53) |
| 6698 | 161 | 53.28 | 7 | 0.42~2.30 | (13→12=1.55×95) (23→23=0.52×30) (24→-5=1.46×29) (11→-27=0.57×21) (7→2=0.58×53) |
| 6708 | 160 | 54.79 | 7 | 0.42~2.30 | (13→12=1.55×97) (23→23=0.52×31) (24→-5=1.46×30) (11→-27=0.58×22) (7→2=0.58×55) |
| 6719 | 167 | 54.31 | 7 | 0.42~2.30 | (13→12=1.56×100) (23→23=0.52×33) (24→-5=1.48×32) (7→2=0.57×57) (-19→28=1.42×99) |
| 6729 | 161 | 54.15 | 7 | 0.42~2.30 | (13→12=1.56×96) (24→-5=1.49×30) (23→23=0.51×31) (7→2=0.58×55) (11→-18=0.58×31) |
| 6739 | 166 | 53.48 | 7 | 0.42~2.30 | (13→12=1.56×96) (24→-5=1.49×30) (23→23=0.51×31) (11→-18=0.58×31) (16→-25=1.42×1) |
| 6750 | 158 | 53.06 | 7 | 0.42~2.30 | (13→12=1.56×90) (24→-5=1.49×31) (23→23=0.51×32) (11→-27=0.57×18) (-19→28=1.42×90) |
| 6760 | 162 | 51.86 | 7 | 0.42~2.30 | (13→12=1.56×90) (24→-5=1.49×31) (23→23=0.51×32) (11→-27=0.57×18) (-19→28=1.42×90) |
| 6770 | 163 | 52.13 | 7 | 0.42~2.30 | (13→12=1.56×91) (23→23=0.52×32) (24→-5=1.48×31) (-15→7=1.45×1) (11→-27=0.57×20) |
| 6781 | 157 | 51.74 | 7 | 0.42~2.30 | (13→12=1.57×87) (23→23=0.52×32) (24→-5=1.48×31) (-15→7=1.45×1) (-16→7=1.45×1) |
| 6791 | 158 | 50.80 | 7 | 0.42~2.30 | (13→12=1.56×86) (24→-5=1.49×28) (23→23=0.52×29) (-15→7=1.45×1) (-16→7=1.45×1) |
| 6801 | 160 | 50.18 | 7 | 0.42~2.30 | (13→12=1.56×86) (24→-5=1.49×28) (23→23=0.52×29) (-15→7=1.45×1) (-16→7=1.45×1) |
| 6812 | 160 | 49.96 | 7 | 0.42~2.30 | (13→12=1.58×86) (24→-5=1.49×28) (23→23=0.52×29) (-15→7=1.45×1) (-16→7=1.45×1) |
| 6822 | 162 | 49.96 | 7 | 0.42~2.30 | (13→12=1.57×87) (24→-5=1.49×28) (23→23=0.52×28) (-15→7=1.45×1) (-16→7=1.45×1) |
| 6832 | 161 | 49.45 | 7 | 0.42~2.30 | (13→12=1.57×85) (24→-5=1.49×29) (23→23=0.53×29) (-15→7=1.45×1) (-16→7=1.45×1) |
| 6843 | 161 | 49.12 | 7 | 0.42~2.30 | (13→12=1.56×84) (24→-5=1.49×28) (23→23=0.52×28) (-15→7=1.45×1) (-16→7=1.45×1) |
| 6853 | 155 | 51.05 | 7 | 0.42~2.30 | (13→12=1.56×84) (24→-5=1.49×30) (23→23=0.52×30) (-15→7=1.45×1) (-16→7=1.45×1) |
| 6863 | 152 | 52.22 | 7 | 0.42~2.30 | (13→12=1.56×83) (24→-5=1.49×29) (23→23=0.52×29) (22→-19=1.48×1) (-15→7=1.45×1) |
| 6874 | 154 | 51.71 | 7 | 0.42~2.30 | (13→12=1.56×83) (24→-5=1.50×29) (23→23=0.52×29) (22→-19=1.48×1) (-15→7=1.45×1) |
| 6884 | 157 | 53.13 | 7 | 0.42~2.30 | (13→12=1.55×86) (24→-5=1.50×29) (23→23=0.52×29) (22→-19=1.48×1) (-15→7=1.45×1) |
| 6894 | 151 | 51.56 | 7 | 0.42~2.30 | (13→12=1.55×80) (24→-5=1.51×27) (23→23=0.51×27) (22→-19=1.48×1) (-16→7=1.45×1) |
| 6905 | 153 | 52.33 | 7 | 0.42~2.30 | (13→12=1.55×81) (24→-5=1.51×27) (23→23=0.51×27) (22→-19=1.48×1) (-16→7=1.45×1) |
| 6915 | 154 | 52.63 | 7 | 0.42~2.30 | (13→12=1.54×82) (24→-5=1.51×27) (23→23=0.51×27) (22→-19=1.48×1) (-16→7=1.45×1) |
| 6925 | 146 | 50.70 | 7 | 0.42~2.30 | (13→12=1.55×74) (23→23=0.51×27) (24→-5=1.49×28) (22→-19=1.48×1) (11→-27=0.55×13) |
| 6936 | 144 | 50.35 | 7 | 0.42~2.30 | (13→12=1.55×72) (23→23=0.51×27) (24→-5=1.49×28) (22→-19=1.48×1) (11→-27=0.55×13) |
| 6946 | 140 | 49.82 | 7 | 0.42~2.30 | (13→12=1.54×68) (23→23=0.51×26) (24→-5=1.48×27) (22→-19=1.48×1) (11→-27=0.55×11) |
| 6956 | 142 | 49.96 | 7 | 0.42~2.30 | (13→12=1.52×69) (23→23=0.51×25) (24→-5=1.49×26) (22→-19=1.48×1) (11→-27=0.55×10) |
| 6967 | 139 | 50.45 | 7 | 0.42~1.93 | (13→12=1.50×67) (23→23=0.50×25) (24→-5=1.49×26) (22→-19=1.48×1) (11→-27=0.55×8) |
| 6977 | 137 | 49.10 | 7 | 0.42~1.93 | (23→23=0.50×24) (13→12=1.50×64) (24→-5=1.50×25) (22→-19=1.48×1) (-20→-16=1.45×32) |
| 6987 | 137 | 50.88 | 7 | 0.42~1.93 | (23→23=0.51×24) (13→12=1.49×65) (24→-5=1.48×25) (-20→-16=1.48×35) (22→-19=1.48×1) |
| 6998 | 124 | 48.23 | 7 | 0.42~1.93 | (23→23=0.51×21) (13→12=1.48×61) (-20→-16=1.48×34) (24→-5=1.48×22) (22→-19=1.48×1) |
| 7008 | 124 | 48.54 | 7 | 0.42~1.93 | (23→23=0.51×19) (-20→-16=1.49×36) (24→-5=1.48×20) (22→-19=1.48×1) (13→12=1.47×61) |
| 7018 | 122 | 48.47 | 7 | 0.42~1.93 | (23→23=0.52×19) (-20→-16=1.48×35) (22→-19=1.48×1) (24→-5=1.47×20) (13→12=1.47×60) |
| 7029 | 122 | 46.30 | 7 | 0.42~1.93 | (23→23=0.52×18) (-20→-16=1.48×33) (22→-19=1.48×1) (13→12=1.46×57) (11→-27=0.54×5) |
| 7039 | 118 | 47.75 | 7 | 0.42~1.93 | (23→23=0.52×18) (-20→-16=1.48×33) (22→-19=1.48×1) (13→12=1.46×57) (11→-27=0.54×5) |
| 7049 | 112 | 46.61 | 7 | 0.42~1.93 | (-20→-16=1.50×31) (23→23=0.52×16) (11→-27=0.54×5) (13→12=1.46×53) (24→-5=1.45×17) |
| 7060 | 110 | 45.91 | 7 | 0.42~1.93 | (23→23=0.51×15) (-20→-16=1.49×31) (24→-5=1.46×16) (11→-27=0.54×5) (13→12=1.45×51) |
| 7070 | 103 | 45.45 | 7 | 0.42~1.93 | (23→23=0.50×14) (-20→-16=1.49×29) (24→-5=1.47×15) (-7→18=1.47×4) (11→-27=0.55×4) |
| 7080 | 105 | 45.24 | 7 | 0.42~1.93 | (23→23=0.50×13) (-20→-16=1.49×31) (11→-27=0.55×5) (24→-5=1.45×14) (-7→18=1.44×5) |
| 7091 | 99 | 43.07 | 7 | 0.42~1.89 | (-20→-16=1.50×29) (23→23=0.52×11) (11→-27=0.55×5) (-7→18=1.44×5) (11→-18=0.57×11) |
| 7101 | 100 | 43.56 | 7 | 0.42~1.89 | (-20→-16=1.50×30) (23→23=0.52×11) (11→-27=0.55×6) (11→-18=0.57×11) (13→12=1.42×44) |
| 7111 | 101 | 43.07 | 7 | 0.42~1.89 | (-20→-16=1.50×30) (23→23=0.52×11) (11→-27=0.55×6) (11→-18=0.57×11) (13→12=1.42×44) |
| 7122 | 95 | 41.43 | 7 | 0.42~1.89 | (23→23=0.50×9) (-20→-16=1.48×29) (-23→28=1.47×6) (11→-27=0.55×5) (-7→18=1.44×5) |
| 7132 | 96 | 40.97 | 7 | 0.42~1.89 | (23→23=0.50×9) (-20→-16=1.49×29) (-23→28=1.47×6) (11→-27=0.55×5) (-7→18=1.44×5) |
| 7142 | 95 | 40.46 | 7 | 0.42~1.89 | (23→23=0.51×8) (-20→-16=1.48×29) (-7→18=1.47×4) (11→-27=0.55×4) (-23→28=1.45×5) |
| 7153 | 92 | 40.72 | 7 | 0.42~1.89 | (23→23=0.51×8) (-20→-16=1.49×28) (-7→18=1.47×4) (11→-27=0.55×4) (-23→28=1.45×5) |
| 7163 | 96 | 39.07 | 7 | 0.42~1.89 | (-20→-16=1.49×29) (23→23=0.52×7) (-7→18=1.47×4) (11→-27=0.55×4) (-23→28=1.45×5) |
| 7173 | 91 | 37.76 | 7 | 0.42~1.89 | (-20→-16=1.48×26) (23→23=0.52×7) (-7→18=1.47×4) (11→-27=0.55×4) (-23→28=1.45×5) |
| 7184 | 93 | 38.25 | 7 | 0.42~1.89 | (23→23=0.51×8) (-20→-16=1.48×26) (-7→18=1.47×4) (11→-27=0.55×4) (-23→28=1.45×5) |
| 7194 | 94 | 36.80 | 7 | 0.42~1.89 | (23→23=0.51×8) (-20→-16=1.48×25) (-7→18=1.47×4) (11→-27=0.55×4) (-23→28=1.45×5) |
| 7204 | 94 | 36.88 | 7 | 0.42~1.89 | (23→23=0.50×9) (-20→-16=1.49×24) (-7→18=1.47×4) (11→-27=0.55×4) (-23→28=1.45×5) |
| 7215 | 96 | 35.39 | 7 | 0.42~1.89 | (-23→28=1.56×4) (23→23=0.50×9) (-20→-16=1.49×24) (-7→18=1.47×4) (11→-27=0.55×4) |
| 7225 | 95 | 33.68 | 7 | 0.42~1.89 | (-23→28=1.56×4) (23→23=0.50×9) (-20→-16=1.48×22) (-7→18=1.47×4) (11→-27=0.55×4) |
| 7235 | 95 | 32.87 | 7 | 0.42~1.89 | (-23→28=1.56×4) (23→23=0.50×8) (-20→-16=1.48×22) (-7→18=1.47×4) (11→-27=0.55×4) |
| 7246 | 97 | 32.27 | 7 | 0.42~1.89 | (-23→28=1.56×4) (23→23=0.50×8) (-20→-16=1.48×22) (-7→18=1.47×4) (11→-27=0.55×4) |
| 7256 | 94 | 32.30 | 7 | 0.42~1.89 | (-23→28=1.56×4) (23→23=0.51×7) (-20→-16=1.48×22) (-7→18=1.47×4) (11→-27=0.55×4) |
| 7266 | 92 | 30.09 | 7 | 0.42~1.89 | (-23→28=1.56×4) (23→23=0.49×6) (-20→-16=1.49×20) (-7→18=1.47×4) (11→-27=0.55×4) |
| 7277 | 92 | 30.10 | 7 | 0.42~1.89 | (-23→28=1.56×4) (23→23=0.49×6) (-20→-16=1.49×20) (-7→18=1.47×4) (11→-27=0.55×4) |
| 7287 | 90 | 32.00 | 7 | 0.42~1.89 | (-23→28=1.56×4) (23→23=0.48×7) (-20→-16=1.49×20) (-7→18=1.47×4) (11→-27=0.55×4) |
| 7297 | 89 | 31.48 | 7 | 0.42~1.89 | (-23→28=1.55×3) (23→23=0.48×7) (-7→18=1.51×3) (-20→-16=1.48×19) (11→-27=0.55×3) |
| 7308 | 91 | 32.05 | 7 | 0.42~2.04 | (-23→28=1.55×3) (23→23=0.47×8) (-7→18=1.51×3) (-20→-16=1.48×19) (11→-27=0.55×3) |
| 7318 | 88 | 30.99 | 7 | 0.42~2.04 | (-7→18=1.61×2) (23→23=0.48×7) (-23→28=1.52×2) (-20→-16=1.47×18) (11→-27=0.55×2) |
| 7328 | 89 | 30.92 | 7 | 0.42~2.04 | (-7→18=1.61×2) (23→23=0.48×7) (-23→28=1.52×2) (-20→-16=1.47×18) (11→-27=0.55×2) |
| 7339 | 89 | 30.92 | 7 | 0.42~2.04 | (-7→18=1.61×2) (23→23=0.48×7) (-23→28=1.52×2) (-20→-16=1.47×18) (11→-27=0.55×2) |
| 7349 | 90 | 30.58 | 7 | 0.42~2.04 | (-7→18=1.61×2) (23→23=0.48×7) (-23→28=1.52×2) (-20→-16=1.47×18) (11→-27=0.55×2) |
| 7359 | 89 | 29.97 | 7 | 0.42~2.04 | (-7→18=1.61×2) (23→23=0.48×7) (-23→28=1.52×2) (-20→-16=1.48×17) (11→-27=0.55×2) |
| 7370 | 88 | 28.08 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.49×6) (-20→-16=1.47×16) |
| 7380 | 89 | 28.07 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.49×6) (-20→-16=1.47×16) |
| 7390 | 86 | 26.58 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.49×6) (-20→-16=1.47×14) |
| 7401 | 89 | 25.94 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.49×6) (-20→-16=1.47×14) |
| 7411 | 89 | 24.92 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.49×6) (-20→-16=1.47×13) |
| 7421 | 92 | 25.18 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.49×6) (-20→-16=1.47×14) |
| 7432 | 90 | 25.80 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.49×6) (-20→-16=1.47×14) |
| 7442 | 92 | 27.37 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.50×7) (-20→-16=1.47×15) |
| 7452 | 91 | 27.70 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.50×7) (-20→-16=1.47×15) |
| 7463 | 90 | 30.10 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.50×7) (-20→-16=1.46×17) |
| 7473 | 88 | 30.44 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.50×7) (-20→-16=1.46×17) |
| 7483 | 85 | 29.99 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.52×6) (-20→-16=1.46×17) |
| 7494 | 84 | 29.19 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.52×6) (-20→-16=1.47×16) |
| 7504 | 81 | 29.83 | 7 | 0.42~1.89 | (-7→18=1.89×1) (-3→-24=1.59×1) (-8→12=1.53×1) (23→23=0.52×6) (-20→-16=1.47×16) |
| 7514 | 71 | 31.77 | 7 | 0.42~1.77 | (23→23=0.52×6) (-20→-16=1.47×15) (7→2=0.54×6) (-24→19=0.58×6) (17→-11=0.58×6) |
| 7525 | 70 | 33.23 | 7 | 0.42~1.81 | (-20→-16=1.47×15) (23→23=0.53×7) (7→2=0.54×7) (-7→-15=1.43×7) (17→-11=0.58×7) |
| 7535 | 70 | 33.06 | 7 | 0.42~1.81 | (-20→-16=1.47×15) (23→23=0.53×7) (7→2=0.54×7) (-7→-15=1.43×7) (17→-11=0.58×7) |
| 7545 | 70 | 35.50 | 7 | 0.42~1.81 | (-20→-16=1.47×15) (7→2=0.54×9) (23→23=0.55×9) (-7→-15=1.44×9) (13→12=1.44×24) |
| 7556 | 71 | 35.04 | 7 | 0.42~1.81 | (-20→-16=1.47×15) (7→2=0.54×9) (23→23=0.55×9) (-7→-15=1.44×9) (13→12=1.44×24) |
| 7566 | 70 | 36.59 | 7 | 0.42~1.81 | (-20→-16=1.47×15) (7→2=0.54×10) (13→12=1.45×25) (-7→-15=1.45×10) (23→23=0.56×10) |
| 7576 | 64 | 34.61 | 7 | 0.42~1.81 | (24→-14=1.54×1) (13→12=1.47×22) (7→2=0.54×10) (-7→-15=1.45×10) (23→23=0.56×10) |
| 7587 | 68 | 32.78 | 7 | 0.42~1.81 | (24→-14=1.54×1) (13→12=1.50×22) (7→2=0.54×11) (-19→28=1.46×21) (-7→-15=1.45×11) |
| 7597 | 68 | 32.78 | 7 | 0.42~1.81 | (24→-14=1.54×1) (13→12=1.50×22) (7→2=0.54×11) (-19→28=1.46×21) (-7→-15=1.45×11) |
| 7607 | 74 | 33.14 | 7 | 0.42~1.81 | (24→-14=1.54×1) (13→12=1.52×24) (7→2=0.53×13) (-19→28=1.46×23) (-7→-15=1.45×13) |
| 7618 | 72 | 32.58 | 7 | 0.42~1.81 | (13→12=1.53×23) (-19→28=1.48×22) (7→2=0.53×13) (-7→-15=1.45×13) (-24→19=0.57×13) |
| 7628 | 76 | 34.97 | 7 | 0.42~1.81 | (13→12=1.53×26) (-19→28=1.48×24) (7→2=0.53×15) (-7→-15=1.46×15) (-24→19=0.57×15) |
| 7638 | 77 | 34.52 | 7 | 0.42~1.81 | (13→12=1.53×26) (-19→28=1.48×24) (7→2=0.53×15) (-7→-15=1.46×15) (-24→19=0.57×15) |
| 7649 | 77 | 35.84 | 7 | 0.42~1.81 | (13→12=1.54×27) (-19→28=1.48×25) (7→2=0.53×16) (-7→-15=1.46×16) (-24→19=0.57×16) |
| 7659 | 79 | 36.13 | 7 | 0.42~1.81 | (13→12=1.54×28) (-19→28=1.49×26) (7→2=0.53×17) (-7→-15=1.46×17) (-24→19=0.57×17) |
| 7669 | 82 | 35.10 | 7 | 0.42~1.81 | (13→12=1.54×28) (-19→28=1.49×26) (7→2=0.53×17) (-7→-15=1.46×17) (-24→19=0.57×17) |
| 7680 | 79 | 34.97 | 7 | 0.42~1.81 | (13→12=1.54×27) (-19→28=1.51×25) (7→2=0.54×16) (-7→-15=1.46×16) (-24→19=0.56×16) |
| 7690 | 80 | 35.79 | 7 | 0.42~1.81 | (13→12=1.53×28) (-19→28=1.49×26) (7→2=0.54×16) (-7→-15=1.46×16) (-24→19=0.56×16) |
| 7700 | 79 | 35.00 | 7 | 0.42~1.81 | (13→12=1.55×27) (-19→28=1.51×25) (7→2=0.54×16) (-7→-15=1.46×16) (-24→19=0.56×16) |
| 7711 | 75 | 34.20 | 7 | 0.42~1.81 | (13→12=1.56×25) (-19→28=1.54×23) (7→2=0.54×16) (-7→-15=1.46×16) (-24→19=0.56×16) |
| 7721 | 75 | 34.12 | 7 | 0.42~1.81 | (13→12=1.58×25) (-19→28=1.57×23) (7→2=0.54×17) (-7→-15=1.45×17) (-20→-16=1.45×8) |
| 7731 | 74 | 34.58 | 7 | 0.42~1.81 | (13→12=1.58×25) (-19→28=1.57×23) (7→2=0.54×17) (-7→-15=1.45×17) (-20→-16=1.45×8) |
| 7742 | 75 | 34.12 | 7 | 0.42~1.81 | (13→12=1.58×25) (-19→28=1.57×23) (7→2=0.54×17) (-7→-15=1.45×17) (-20→-16=1.45×8) |
| 7752 | 73 | 34.70 | 7 | 0.42~1.81 | (13→12=1.57×25) (-19→28=1.56×23) (7→2=0.54×17) (-7→-15=1.46×17) (-20→-16=1.45×8) |
| 7762 | 72 | 36.54 | 7 | 0.42~1.81 | (13→12=1.56×26) (-19→28=1.55×24) (7→2=0.54×17) (-7→-15=1.46×17) (-20→-16=1.45×9) |
